API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:16:47 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 02:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:30:00.0000 TDB
Step-size       : 30 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461133.083333333, A.D. 2026-Apr-02 14:00:00.0000, -1.100658103866558E+04, -7.415583587230410E+04, -6.385224674544701E+03,  9.695194366100850E-01,  2.459452179530335E-01,  2.635693331293337E-02,
2461133.104166667, A.D. 2026-Apr-02 14:30:00.0000, -9.245506564802041E+03, -7.359983232507565E+04, -6.328030202915605E+03,  9.868195670812145E-01,  3.723466460887027E-01,  3.723371872158804E-02,
2461133.125000000, A.D. 2026-Apr-02 15:00:00.0000, -7.455539731278118E+03, -7.281333402967287E+04, -6.251016458347702E+03,  1.001602340387974E+00,  5.021743377581340E-01,  4.838880208958463E-02,
2461133.145833333, A.D. 2026-Apr-02 15:30:00.0000, -5.641338610068568E+03, -7.178947480233615E+04, -6.153623591619067E+03,  1.013715062899840E+00,  6.362226019450519E-01,  5.988909042834090E-02,
2461133.166666667, A.D. 2026-Apr-02 16:00:00.0000, -3.807904461792375E+03, -7.051985319133650E+04, -6.035162699384473E+03,  1.022926227906780E+00,  7.754086818210431E-01,  7.181154038631082E-02,
2461133.187500000, A.D. 2026-Apr-02 16:30:00.0000, -1.960741479152086E+03, -6.899427727919382E+04, -5.894794940633416E+03,  1.028904246689014E+00,  9.208123270927460E-01,  8.424641617586437E-02,
2461133.208333333, A.D. 2026-Apr-02 17:00:00.0000, -1.060635280266654E+02, -6.720042660462265E+04, -5.731503843272774E+03,  1.031185795131923E+00,  1.073729195836782E+00,  9.730166978728172E-02,
2461133.229166667, A.D. 2026-Apr-02 17:30:00.0000,  1.748928887361201E+03, -6.512340073043374E+04, -5.544058329698790E+03,  1.029128273825197E+00,  1.235744781895833E+00,  1.111089843134692E-01,
2461133.250000000, A.D. 2026-Apr-02 18:00:00.0000,  3.595665215649559E+03, -6.274510871393328E+04, -5.330962759380702E+03,  1.021837076000747E+00,  1.408839480326070E+00,  1.258323343170185E-01,
2461133.270833333, A.D. 2026-Apr-02 18:30:00.0000,  5.422768168490329E+03, -6.004378231139590E+04, -5.088222266883935E+03,  1.008087946881315E+00,  1.595525783756886E+00,  1.416211262784992E-01,
2461133.291666667, A.D. 2026-Apr-02 19:00:00.0000,  7.218848960831233E+03, -5.699141678834632E+04, -4.817989843161351E+03,  9.859936117468130E-01,  1.799143933645562E+00,  1.588704635994578E-01,
2461133.312500000, A.D. 2026-Apr-02 19:30:00.0000,  8.965776707168083E+03, -5.355407908665708E+04, -4.515221543364598E+03,  9.529201684232208E-01,  2.024131915677637E+00,  1.778690746884100E-01,
2461133.333333333, A.D. 2026-Apr-02 20:00:00.0000,  1.064035880784849E+04, -4.968806464432327E+04, -4.176306167580613E+03,  9.047635000965849E-01,  2.276670282713476E+00,  1.991331252838006E-01,
2461133.354166667, A.D. 2026-Apr-02 20:30:00.0000,  1.221001789980154E+04, -4.533627084909082E+04, -3.796555447685338E+03,  8.349495096865669E-01,  2.565679952636505E+00,  2.233868933742366E-01,
2461133.375000000, A.D. 2026-Apr-02 21:00:00.0000,  1.362663763936917E+04, -4.042179781950772E+04, -3.369679024152314E+03,  7.322784681921936E-01,  2.904644341764755E+00,  2.517182792171990E-01,
2461133.395833333, A.D. 2026-Apr-02 21:30:00.0000,  1.481461934577106E+04, -3.483696368034781E+04, -2.887064016046437E+03,  5.760842556150082E-01,  3.315136267467477E+00,  2.858237037602156E-01,
2461133.416666667, A.D. 2026-Apr-02 22:00:00.0000,  1.564392575965757E+04, -2.842273356379930E+04, -2.335617191612688E+03,  3.236224655378965E-01,  3.834302632121284E+00,  3.286951873053372E-01,
2461133.437500000, A.D. 2026-Apr-02 22:30:00.0000,  1.586313322778722E+04, -2.092787620118455E+04, -1.695414337882567E+03, -1.290565442485073E-01,  4.531617327936809E+00,  3.856016836708984E-01,
2461133.458333333, A.D. 2026-Apr-02 23:00:00.0000,  1.487722332185986E+04, -1.192254541811805E+04, -9.331341617321796E+02, -1.112834913071427E+00,  5.542264916547333E+00,  4.663690265330533E-01,
2461133.479166667, A.D. 2026-Apr-02 23:30:00.0000,  1.066726423502132E+04, -7.573595052495759E+02, -4.422175335348527E+00, -4.304887627777264E+00,  6.791609591106688E+00,  5.552575656361483E-01,
2461133.500000000, A.D. 2026-Apr-03 00:00:00.0000, -4.167610090861469E+03,  6.427774643992089E+03,  4.774057898683686E+02, -9.926859512834213E+00, -1.868923074835082E+00, -3.356176930872550E-01,
2461133.520833333, A.D. 2026-Apr-03 00:30:00.0000, -1.688575899803702E+04, -5.301278312240780E+02, -3.450511390854369E+02, -5.086056353104026E+00, -4.399876502752289E+00, -4.681229468672587E-01,
2461133.541666667, A.D. 2026-Apr-03 01:00:00.0000, -2.438436675878804E+04, -8.223314956040314E+03, -1.138790689356998E+03, -3.484153858207709E+00, -4.111237972479718E+00, -4.148747197146980E-01,
2461133.562500000, A.D. 2026-Apr-03 01:30:00.0000, -2.990648477635971E+04, -1.532696934415540E+04, -1.846779277211934E+03, -2.726827514887403E+00, -3.791563507668911E+00, -3.739640129661852E-01,
2461133.583333333, A.D. 2026-Apr-03 02:00:00.0000, -3.437938933840847E+04, -2.191060480121923E+04, -2.491467963713369E+03, -2.276165175289904E+00, -3.533226527851169E+00, -3.437729854438514E-01,
2461133.604166667, A.D. 2026-Apr-03 02:30:00.0000, -3.818716042111995E+04, -2.807662041851518E+04, -3.088478649585568E+03, -1.972289314169316E+00, -3.325013044318388E+00, -3.204956700602859E-01,
2461133.625000000, A.D. 2026-Apr-03 03:00:00.0000, -4.152853369541059E+04, -3.390254067406742E+04, -3.648001186220785E+03, -1.750900713390366E+00, -3.153421678332694E+00, -3.018292539248650E-01,
2461133.645833333, A.D. 2026-Apr-03 03:30:00.0000, -4.452099121727109E+04, -3.944507530494273E+04, -4.176993207663065E+03, -1.580924893388516E+00, -3.008825598234832E+00, -2.863945679788484E-01,
2461133.666666667, A.D. 2026-Apr-03 04:00:00.0000, -4.724040181535781E+04, -4.474651979546908E+04, -4.680434764746102E+03, -1.445394877079428E+00, -2.884639916917438E+00, -2.733245477379740E-01,
2461133.687500000, A.D. 2026-Apr-03 04:30:00.0000, -4.973894674087306E+04, -4.983925367470505E+04, -5.162033368280318E+03, -1.334205155206667E+00, -2.776288043679909E+00, -2.620465885187032E-01,
2461133.708333333, A.D. 2026-Apr-03 05:00:00.0000, -5.205424937602551E+04, -5.474868071738409E+04, -5.624638792305959E+03, -1.240932093006998E+00, -2.680504599613229E+00, -2.521661381966144E-01,
2461133.729166667, A.D. 2026-Apr-03 05:30:00.0000, -5.421444992013650E+04, -5.949516427431950E+04, -6.070499475994737E+03, -1.161280615800652E+00, -2.594897414733643E+00, -2.434014643926390E-01,
2461133.750000000, A.D. 2026-Apr-03 06:00:00.0000, -5.624122197427560E+04, -6.409533179728530E+04, -6.501428162334021E+03, -1.092260352706772E+00, -2.517671273803916E+00, -2.355452843341451E-01,
2461133.770833333, A.D. 2026-Apr-03 06:30:00.0000, -5.815166374018927E+04, -6.856297775295447E+04, -6.918913042620905E+03, -1.031719280618966E+00, -2.447449846249317E+00, -2.284411834347008E-01,
2461133.791666667, A.D. 2026-Apr-03 07:00:00.0000, -5.995953611625123E+04, -7.290970457429257E+04, -7.324194796422882E+03, -9.780654126920150E-01, -2.383157916125876E+00, -2.219685553148134E-01,
2461133.812500000, A.D. 2026-Apr-03 07:30:00.0000, -6.167610286050985E+04, -7.714538827380128E+04, -7.718321502248025E+03, -9.300932683522866E-01, -2.323941486201857E+00, -2.160326569364839E-01,
2461133.833333333, A.D. 2026-Apr-03 08:00:00.0000, -6.331071824172191E+04, -8.127852375855508E+04, -8.102188730449623E+03, -8.868716089579953E-01, -2.269112281645244E+00, -2.105578480293467E-01,
2461133.854166667, A.D. 2026-Apr-03 08:30:00.0000, -6.487124884920276E+04, -8.531648571529632E+04, -8.476569439012819E+03, -8.476684798562334E-01, -2.218108354237624E+00, -2.054828761819968E-01,
2461133.875000000, A.D. 2026-Apr-03 09:00:00.0000, -6.636438321561422E+04, -8.926572899307801E+04, -8.842136680528754E+03, -8.118997791130599E-01, -2.170465564963966E+00, -2.007575142033873E-01,
2461133.895833333, A.D. 2026-Apr-03 09:30:00.0000, -6.779586357840071E+04, -9.313194481405053E+04, -9.199481132715558E+03, -7.790931180192484E-01, -2.125796571207268E+00, -1.963401136651383E-01,
2461133.916666667, A.D. 2026-Apr-03 10:00:00.0000, -6.917066237430467E+04, -9.692018418325123E+04, -9.549124830427107E+03, -7.488618884732189E-01, -2.083775093434641E+00, -1.921957931706854E-01,
2461133.937500000, A.D. 2026-Apr-03 10:30:00.0000, -7.049311871787111E+04, -1.006349565650042E+05, -9.891532062916813E+03, -7.208863047486613E-01, -2.044123962320518E+00, -1.882950751790922E-01,
2461133.958333333, A.D. 2026-Apr-03 11:00:00.0000, -7.176704538949765E+04, -1.042803096479055E+05, -1.022711812331164E+04, -6.948993113430948E-01, -2.006605917047792E+00, -1.846128455309965E-01,
2461133.979166667, A.D. 2026-Apr-03 11:30:00.0000, -7.299581374293279E+04, -1.078598944655654E+05, -1.055625640837070E+04, -6.706759499794362E-01, -1.971016435583927E+00, -1.811275489173434E-01,
2461134.000000000, A.D. 2026-Apr-03 12:00:00.0000, -7.418242184251879E+04, -1.113770190454458E+05, -1.087928423528022E+04, -6.480252273803344E-01, -1.937178086217500E+00, -1.778205594059631E-01,
2461134.020833333, A.D. 2026-Apr-03 12:30:00.0000, -7.532954969753292E+04, -1.148346929751307E+05, -1.119650764936027E+04, -6.267838187435942E-01, -1.904936032264092E+00, -1.746756826019473E-01,
2461134.041666667, A.D. 2026-Apr-03 13:00:00.0000, -7.643960445155749E+04, -1.182356647073058E+05, -1.150820542984533E+04, -6.068111375677148E-01, -1.874154420989313E+00, -1.716787580054386E-01,
2461134.062500000, A.D. 2026-Apr-03 13:30:00.0000, -7.751475766717299E+04, -1.215824530071361E+05, -1.181463245229060E+04, -5.879854354575358E-01, -1.844713457737055E+00, -1.688173385043852E-01,
2461134.083333333, A.D. 2026-Apr-03 14:00:00.0000, -7.855697632848918E+04, -1.248773736349799E+05, -1.211602253027516E+04, -5.702006874469095E-01, -1.816507016265537E+00, -1.660804298628620E-01,
2461134.104166667, A.D. 2026-Apr-03 14:30:00.0000, -7.956804880537468E+04, -1.281225621235041E+05, -1.241259083226179E+04, -5.533640828547827E-01, -1.789440672521788E+00, -1.634582773259554E-01,
2461134.125000000, A.D. 2026-Apr-03 15:00:00.0000, -8.054960674286020E+04, -1.313199933303976E+05, -1.270453594921997E+04, -5.373939875742727E-01, -1.763430075644278E+00, -1.609421895530185E-01,
2461134.145833333, A.D. 2026-Apr-03 15:30:00.0000, -8.150287968021368E+04, -1.344717283219248E+05, -1.299183419525945E+04, -5.155434172813471E-01, -1.744214985392901E+00, -1.532763581540778E-01,
2461134.166666667, A.D. 2026-Apr-03 16:00:00.0000, -8.242913691795495E+04, -1.375795276301469E+05, -1.327454522062679E+04, -5.077501157430759E-01, -1.714283802339537E+00, -1.561622486960338E-01,
2461134.187500000, A.D. 2026-Apr-03 16:30:00.0000, -8.333059553383511E+04, -1.406441740889160E+05, -1.355360776034016E+04, -4.939783836178571E-01, -1.691015893256722E+00, -1.539209202308791E-01,
2461134.208333333, A.D. 2026-Apr-03 17:00:00.0000, -8.420783246252632E+04, -1.436676617163031E+05, -1.382870812972132E+04, -4.808290985094314E-01, -1.668542937976949E+00, -1.517589365476575E-01,
2461134.229166667, A.D. 2026-Apr-03 17:30:00.0000, -8.506192624618938E+04, -1.466513752225204E+05, -1.409998443900968E+04, -4.682565616960371E-01, -1.646814394161627E+00, -1.496711469427929E-01,
2461134.250000000, A.D. 2026-Apr-03 18:00:00.0000, -8.589377227287783E+04, -1.495966208663381E+05, -1.436764582343543E+04, -4.562179359905671E-01, -1.625775952799256E+00, -1.476495821526334E-01,
2461134.270833333, A.D. 2026-Apr-03 18:30:00.0000, -8.670450767848974E+04, -1.525045851151477E+05, -1.463164779659699E+04, -4.446793754291632E-01, -1.605401552765104E+00, -1.456964855391543E-01,
2461134.291666667, A.D. 2026-Apr-03 19:00:00.0000, -8.749489703581085E+04, -1.553764375825775E+05, -1.489219001480017E+04, -4.336058745728243E-01, -1.585645576466898E+00, -1.438047850537347E-01,
2461134.312500000, A.D. 2026-Apr-03 19:30:00.0000, -8.826574941364527E+04, -1.582132586669915E+05, -1.514937968054574E+04, -4.229667761673423E-01, -1.566472155583334E+00, -1.419708572286525E-01,
2461134.333333333, A.D. 2026-Apr-03 20:00:00.0000, -8.901782137042390E+04, -1.610160673448378E+05, -1.540331779128966E+04, -4.127343261552624E-01, -1.547848823091923E+00, -1.401914222356717E-01,
2461134.354166667, A.D. 2026-Apr-03 20:30:00.0000, -8.975182174281015E+04, -1.637858264859738E+05, -1.565409968095308E+04, -4.028832066474025E-01, -1.529745659990095E+00, -1.384634623419826E-01,
2461134.375000000, A.D. 2026-Apr-03 21:00:00.0000, -9.046841578464115E+04, -1.665234472053923E+05, -1.590181546716253E+04, -3.933902687231605E-01, -1.512135040045673E+00, -1.367841952414650E-01,
2461134.395833333, A.D. 2026-Apr-03 21:30:00.0000, -9.116822885720384E+04, -1.692297927839485E+05, -1.614655045351123E+04, -3.842343001524694E-01, -1.494991405375588E+00, -1.351510506608568E-01,
2461134.416666667, A.D. 2026-Apr-03 22:00:00.0000, -9.185184972882699E+04, -1.719056822095772E+05, -1.638838549229215E+04, -3.753958227833736E-01, -1.478291068527617E+00, -1.335616497644502E-01,
