API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Fri Apr 10 21:30:18 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Mar-28 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Apr-15 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260410.p260707
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-10. PREDICTS-> 2026-JUL-06
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461128.500000000, A.D. 2026-Mar-29 00:00:00.0000, -2.855837394059277E+05,  2.504320996396239E+05,  1.166404301768061E+04, -7.078728151964427E-01, -7.491760741977944E-01, -8.743347119944894E-02,
2461128.541666667, A.D. 2026-Mar-29 01:00:00.0000, -2.881185560094237E+05,  2.477230898774774E+05,  1.134872899512082E+04, -7.003488609157295E-01, -7.558162666099979E-01, -8.773953654194400E-02,
2461128.583333333, A.D. 2026-Mar-29 02:00:00.0000, -2.906261813717081E+05,  2.449903170108985E+05,  1.103232879652678E+04, -6.927667127359773E-01, -7.623777169579112E-01, -8.803690029260081E-02,
2461128.625000000, A.D. 2026-Mar-29 03:00:00.0000, -2.931064075374309E+05,  2.422340653902598E+05,  1.071487376905981E+04, -6.851272282542190E-01, -7.688599385645929E-01, -8.832555070336601E-02,
2461128.666666667, A.D. 2026-Mar-29 04:00:00.0000, -2.955590296444518E+05,  2.394546211004271E+05,  1.039639530047070E+04, -6.774312683044527E-01, -7.752624545018761E-01, -8.860547697209842E-02,
2461128.708333333, A.D. 2026-Mar-29 05:00:00.0000, -2.979838459352929E+05,  2.366522719256416E+05,  1.007692481569963E+04, -6.696796968467554E-01, -7.815847976022209E-01, -8.887666923972454E-02,
2461128.750000000, A.D. 2026-Mar-29 06:00:00.0000, -3.003806577681932E+05,  2.338273073143621E+05,  9.756493773486232E+03, -6.618733808564362E-01, -7.878265104694463E-01, -8.913911858729862E-02,
2461128.791666667, A.D. 2026-Mar-29 07:00:00.0000, -3.027492696277640E+05,  2.309800183440711E+05,  9.435133662990731E+03, -6.540131902132338E-01, -7.939871454883347E-01, -8.939281703296886E-02,
2461128.833333333, A.D. 2026-Mar-29 08:00:00.0000, -3.050894891352457E+05,  2.281106976860469E+05,  9.112876000425851E+03, -6.460999975905649E-01, -8.000662648331032E-01, -8.963775752884673E-02,
2461128.875000000, A.D. 2026-Mar-29 09:00:00.0000, -3.074011270583656E+05,  2.252196395701086E+05,  8.789752325700450E+03, -6.381346783448314E-01, -8.060634404747387E-01, -8.987393395778248E-02,
