date,eq_count,max_magnitude,mean_depth_km,energy_log10,dispersion_km
2016-07-19,0,,,,
2016-07-20,0,,,,
2016-07-21,1,4.6,372.39,11.7,0.0
2016-07-22,1,4.6,528.93,11.7,0.0
2016-07-23,3,5.8,490.7966666666666,13.545914274997644,3845.485171268315
2016-07-24,1,4.5,344.47,11.55,0.0
2016-07-25,0,,,,
2016-07-26,1,4.6,540.42,11.7,0.0
2016-07-27,0,,,,
2016-07-28,2,4.7,531.3199999999999,12.026434862436489,0.0
2016-07-29,0,,,,
2016-07-30,1,4.5,534.48,11.55,0.0
2016-07-31,2,4.9,507.245,12.247322793708696,0.0
2016-08-01,1,4.6,509.04,11.7,0.0
2016-08-02,1,4.5,622.13,11.55,0.0
2016-08-03,1,4.7,611.76,11.85,0.0
2016-08-04,2,6.3,501.665,14.250865668082794,0.0
2016-08-05,0,,,,
2016-08-06,0,,,,
2016-08-07,0,,,,
2016-08-08,1,4.5,375.26,11.55,0.0
2016-08-09,0,,,,
2016-08-10,2,4.5,589.17,11.851029995663982,0.0
2016-08-11,2,4.6,415.615,11.932474080687586,0.0
2016-08-12,0,,,,
2016-08-13,1,4.5,332.17,11.55,0.0
2016-08-14,1,4.9,506.29,12.15,0.0
2016-08-15,1,4.5,517.4,11.55,0.0
2016-08-16,0,,,,
2016-08-17,3,4.9,548.1999999999999,12.442064236471372,1849.9088179956727
2016-08-18,1,4.6,391.64,11.7,0.0
2016-08-19,0,,,,
2016-08-20,0,,,,
2016-08-21,2,4.5,546.24,11.851029995663982,0.0
2016-08-22,1,5.6,391.0,13.2,0.0
2016-08-23,2,6.0,526.645,13.976434862436486,0.0
2016-08-24,0,,,,
2016-08-25,3,5.9,505.1033333333333,13.660211822507032,3458.159548447738
2016-08-26,0,,,,
2016-08-27,1,4.8,508.02,12.0,0.0
2016-08-28,0,,,,
2016-08-29,3,4.6,434.71,12.083077438168312,2715.984528828219
2016-08-30,0,,,,
2016-08-31,1,6.8,476.0,15.0,0.0
2016-09-01,0,,,,
2016-09-02,1,4.5,619.7,11.55,0.0
2016-09-03,1,5.0,326.69,12.3,0.0
2016-09-04,1,4.9,582.87,12.15,0.0
2016-09-05,2,4.5,539.185,11.851029995663982,0.0
2016-09-06,3,4.8,568.48,12.232901311711837,44.91201431083967
2016-09-07,0,,,,
2016-09-08,2,4.7,463.41,12.026434862436489,0.0
2016-09-09,1,4.5,516.37,11.55,0.0
2016-09-10,0,,,,
2016-09-11,0,,,,
2016-09-12,1,4.8,539.3,12.0,0.0
2016-09-13,0,,,,
2016-09-14,2,4.6,531.56,11.932474080687586,0.0
2016-09-15,0,,,,
2016-09-16,0,,,,
2016-09-17,2,4.7,482.065,12.082474080687588,0.0
2016-09-18,0,,,,
2016-09-19,1,4.5,515.02,11.55,0.0
2016-09-20,1,4.7,658.45,11.85,0.0
2016-09-21,1,4.5,585.75,11.55,0.0
2016-09-22,2,4.6,538.9549999999999,11.932474080687586,0.0
2016-09-23,0,,,,
2016-09-24,5,6.9,589.78,15.152848726843926,5.832521193125317
2016-09-25,2,5.1,573.6949999999999,12.501496942025229,0.0
2016-09-26,2,4.6,606.8199999999999,11.932474080687586,0.0
2016-09-27,3,5.1,519.14,12.764448527210144,2588.780486781763
2016-09-28,1,4.6,587.94,11.7,0.0
2016-09-29,2,4.5,470.02,11.851029995663982,0.0
2016-09-30,0,,,,
2016-10-01,1,5.3,522.44,12.75,0.0
2016-10-02,1,4.5,567.76,11.55,0.0
2016-10-03,1,4.7,516.81,11.85,0.0
2016-10-04,1,4.6,569.56,11.7,0.0
2016-10-05,2,4.7,506.165,12.026434862436489,0.0
2016-10-06,1,4.5,509.47,11.55,0.0
2016-10-07,0,,,,
2016-10-08,0,,,,
2016-10-09,0,,,,
2016-10-10,0,,,,
