date,BOU,FRD,BRW,HON
2025-12-07,20655.574201183437,21742.96100591716,9255.583372781066,27019.952603550297
2025-12-08,20653.603,21734.462513888888,9250.927104166669,27002.548138888887
2025-12-09,20652.840874999998,21733.69459722222,9210.470118055557,26999.919576388886
2025-12-10,20649.748645833333,21730.36577083333,9208.871506944444,26997.39809722222
2025-12-11,20616.293006944445,21696.433965277774,9191.19504861111,26960.06730555556
2025-12-12,20625.999590277777,21705.170006944445,9180.863590277779,26970.643013888886
2025-12-13,20638.911805555555,21717.582979166666,9249.641791666667,26980.23045833333
2025-12-14,20651.1719375,21732.554194444445,9264.067,26991.84479861111
2025-12-15,20881.14625,21740.812875,9245.823840277775,27003.226125
2025-12-16,20663.67977083333,21745.93121527778,9262.79309027778,27013.109652777777
2025-12-17,20935.344854166666,21742.638284722223,9232.37925,27007.78314583333
2025-12-18,20649.056243055555,21730.743840277777,9235.369652777776,26995.21061805556
2025-12-19,21593.50392361111,21735.318298611117,9258.54763888889,26998.643604166668
2025-12-20,20668.681173611112,21747.37938888889,9254.004104166666,27011.975944444443
2025-12-21,20656.3216875,21733.276875,9165.3735625,27010.312027777774
2025-12-22,20641.04786805556,21722.25107638889,9184.89590972222,26989.30925694444
2025-12-23,20646.171229166663,21726.008680555555,9209.694958333332,26991.886041666665
2025-12-24,20646.10952777778,21728.61904861111,9240.9814375,26993.7363125
2025-12-25,20656.05570138889,21736.062555555553,9264.614083333332,27001.112506944442
2025-12-26,20659.168541666662,21740.76954861111,9243.471520833333,27004.16731944444
2025-12-27,20660.339791666665,21739.90379861111,9243.870027777777,27003.122020833332
2025-12-28,20660.009888888886,21742.99472916667,9255.733451388889,27005.205958333332
2025-12-29,20658.661562499998,21741.150430555557,9262.179131944444,27004.406
2025-12-30,20663.801215277777,21744.245152777778,9194.718701388889,27013.00772222222
2025-12-31,20665.93894444444,21746.775472222223,9233.682402777778,27007.91486805555
2026-01-01,20663.298215277777,21742.82451388889,9193.560229166667,27005.66390277778
2026-01-02,20649.229006944443,21730.154229166666,9220.73665972222,26997.998201388888
2026-01-03,20652.276895833333,21730.268888888888,9227.629645833333,26991.78377777778
2026-01-04,20661.123423611112,21742.55061111111,9254.574930555556,27009.855284722224
2026-01-05,20649.700263888888,21729.16597222222,9237.363951388888,26989.17446527777
2026-01-06,20660.626277777777,21742.34927083333,9255.019208333331,27005.618138888887
2026-01-07,20663.30070833333,21744.356229166668,9232.305,27012.4631875
2026-01-08,20648.03138888889,21728.18496527778,9269.638076388888,26991.693472222225
2026-01-09,20656.74163888889,21736.641069444446,9256.903888888888,27002.550965277776
2026-01-10,20642.927,21720.780479166668,9086.142652777778,26997.2321875
2026-01-11,20622.75963888889,21702.690104166668,9132.206868055557,26959.290548611112
2026-01-12,20632.79918055556,21717.243381944445,9195.971972222223,26968.33138194444
2026-01-13,20648.52971527778,21730.5418125,9249.86577777778,26984.530756944445
2026-01-14,20659.80226388889,21739.600201388886,9253.901173611112,26999.35795833333
2026-01-15,20660.474944444446,21743.591972222224,9219.551375000001,27003.166041666667
2026-01-16,20646.4873125,21729.38205555556,9177.146506944446,27001.5644375
2026-01-17,20638.746430555555,21722.276381944444,9220.185784722222,26983.156819444444
2026-01-18,20645.6340625,21945.70634722222,9181.228736111112,97058.52566666668
2026-01-19,20625.73473611111,21713.422479166667,9190.956694444445,99999.0
2026-01-20,20529.69453472222,21613.91967361111,8955.526673611112,99999.0
2026-01-21,31094.10752083333,33072.49797222222,14712.443583333334,99999.0
2026-01-22,20614.644770833333,21697.83392361112,10876.994520833334,28009.959013888885
2026-01-23,20605.637652777776,21690.634208333333,9177.595944444445,26945.160375
2026-01-24,20621.036263888887,21701.75965277777,9207.447486111112,26953.628708333337
2026-01-25,20628.323861111112,21712.852208333334,9238.11665277778,26964.728854166664
2026-01-26,20636.720222222222,21719.206104166668,9207.725541666669,26971.85499305556
2026-01-27,20639.731659722223,21722.81,9205.114381944444,26979.982104166666
2026-01-28,20634.852479166668,21714.442840277778,9192.651631944444,26970.585229166663
2026-01-29,20628.335194444444,21712.384881944447,9153.780965277778,26966.623291666667
2026-01-30,20637.93675,21722.68121527778,9267.501895833331,26972.59521527778
2026-01-31,20642.077381944444,21726.15236111111,9253.5190625,26983.840680555553
2026-02-01,20652.337666666663,21735.506159722223,9240.849861111112,26989.14507638889
2026-02-02,20649.499868055555,21732.06357638889,9262.723375,26993.936048611107
2026-02-03,20651.36195833333,21741.126756944446,9243.060270833334,26997.658666666663
2026-02-04,20660.87722916667,21740.63777083333,9206.066916666668,27005.56238888889
2026-02-05,20624.977083333335,21715.19463888889,9236.363006944444,26963.480854166668
2026-02-06,21178.684666666668,21733.977466666667,9254.544866666667,26988.4998
